epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,24.1318,0.86185,1.95455,1.336,0.94916,0.38934,0.42224,0.29085,1.77961,2.44137,1.56827,2.82082e-05,2.82082e-05,2.82082e-05
40,24.7194,0.93911,1.1961,1.41738,0.94916,0.38934,0.42224,0.29085,1.77961,2.44137,1.56827,2.84911e-05,2.84911e-05,2.84911e-05
41,25.3423,0.73424,1.23232,1.11417,0.95167,0.38712,0.42063,0.28822,1.77246,2.46499,1.54862,2.87504e-05,2.87504e-05,2.87504e-05
42,25.9398,0.93462,1.26726,1.3188,0.95167,0.38712,0.42063,0.28822,1.77246,2.46499,1.54862,2.89861e-05,2.89861e-05,2.89861e-05
43,26.5477,0.58547,2.51733,1.17395,0.94832,0.38183,0.41407,0.31956,1.74983,2.45343,1.55087,2.91983e-05,2.91983e-05,2.91983e-05
44,27.1403,0.84882,1.15063,1.24921,0.94832,0.38183,0.41407,0.31956,1.74983,2.45343,1.55087,2.93869e-05,2.93869e-05,2.93869e-05
45,27.7547,0.62581,1.14563,1.12366,0.95319,0.38718,0.42377,0.32218,1.74553,2.48699,1.54749,2.9552e-05,2.9552e-05,2.9552e-05
46,28.3427,0.88444,1.07107,1.33481,0.95319,0.38718,0.42377,0.32218,1.74553,2.48699,1.54749,2.96935e-05,2.96935e-05,2.96935e-05
47,28.9884,0.7919,0.94264,1.16645,0.94964,0.38333,0.42035,0.32157,1.75409,2.51275,1.56568,2.98114e-05,2.98114e-05,2.98114e-05
48,29.5856,0.67965,0.94164,1.10444,0.94964,0.38333,0.42035,0.32157,1.75409,2.51275,1.56568,2.99058e-05,2.99058e-05,2.99058e-05
49,30.198,0.95083,0.87011,1.21789,0.94979,0.38333,0.42084,0.3209,1.69189,2.35477,1.47918,2.99766e-05,2.99766e-05,2.99766e-05
50,30.7905,0.81804,0.81838,1.17615,0.94979,0.38333,0.42084,0.3209,1.69189,2.35477,1.47918,3.00238e-05,3.00238e-05,3.00238e-05
51,31.4077,0.78314,0.87009,1.19384,0.95331,0.38333,0.42308,0.30365,1.70887,2.34167,1.50459,3.00475e-05,3.00475e-05,3.00475e-05
52,32.0189,0.75676,1.05782,1.14231,0.95331,0.38333,0.42308,0.30365,1.70887,2.34167,1.50459,3.00476e-05,3.00476e-05,3.00476e-05
53,32.6122,0.60515,0.81732,1.11669,0.95331,0.38333,0.42308,0.30365,1.70887,2.34167,1.50459,3.00242e-05,3.00242e-05,3.00242e-05
54,33.2247,0.85711,1.35138,1.24708,0.94749,0.38597,0.42788,0.30695,1.73357,2.33575,1.53504,2.99772e-05,2.99772e-05,2.99772e-05
55,33.822,0.81831,0.79435,1.12193,0.94749,0.38597,0.42788,0.30695,1.73357,2.33575,1.53504,2.99066e-05,2.99066e-05,2.99066e-05
56,34.4142,0.74363,1.12243,1.10734,0.94749,0.38597,0.42788,0.30695,1.73357,2.33575,1.53504,2.98125e-05,2.98125e-05,2.98125e-05
57,35.0352,0.64807,0.76553,1.09315,0.95022,0.385,0.42832,0.30855,1.73554,2.40327,1.53678,2.96948e-05,2.96948e-05,2.96948e-05
58,35.6326,0.71171,0.72968,1.17369,0.95022,0.385,0.42832,0.30855,1.73554,2.40327,1.53678,2.95535e-05,2.95535e-05,2.95535e-05
59,36.2295,0.88269,0.90891,1.26125,0.95022,0.385,0.42832,0.30855,1.73554,2.40327,1.53678,2.93887e-05,2.93887e-05,2.93887e-05
60,36.8406,0.9185,1.35109,1.35022,0.95694,0.38166,0.43015,0.3011,1.7612,2.45954,1.56306,2.92003e-05,2.92003e-05,2.92003e-05
61,37.4354,0.59422,0.7979,1.06426,0.95694,0.38166,0.43015,0.3011,1.7612,2.45954,1.56306,2.89884e-05,2.89884e-05,2.89884e-05
62,38.0279,0.58878,0.67661,1.07837,0.95694,0.38166,0.43015,0.3011,1.7612,2.45954,1.56306,2.87529e-05,2.87529e-05,2.87529e-05
63,38.6396,1.0363,1.43424,1.49803,0.96707,0.38312,0.42826,0.29971,1.74252,2.38981,1.51354,2.84938e-05,2.84938e-05,2.84938e-05
64,39.2796,0.70937,0.91648,1.09999,0.96707,0.38312,0.42826,0.29971,1.74252,2.38981,1.51354,2.82112e-05,2.82112e-05,2.82112e-05
65,39.8712,0.7705,0.83547,1.11826,0.96707,0.38312,0.42826,0.29971,1.74252,2.38981,1.51354,2.7905e-05,2.7905e-05,2.7905e-05
66,40.4754,0.62119,0.68078,1.15109,0.95218,0.38867,0.43335,0.29991,1.75679,2.41845,1.53006,2.75753e-05,2.75753e-05,2.75753e-05
67,41.0692,0.64377,0.62934,1.02627,0.95218,0.38867,0.43335,0.29991,1.75679,2.41845,1.53006,2.7222e-05,2.7222e-05,2.7222e-05
68,41.6643,0.85099,1.04556,1.23661,0.95218,0.38867,0.43335,0.29991,1.75679,2.41845,1.53006,2.68451e-05,2.68451e-05,2.68451e-05
69,42.2746,0.67265,0.84068,1.09627,0.94987,0.39355,0.43346,0.29908,1.77093,2.45598,1.54644,2.64447e-05,2.64447e-05,2.64447e-05
70,42.8712,1.04215,1.5712,1.33375,0.94987,0.39355,0.43346,0.29908,1.77093,2.45598,1.54644,2.60207e-05,2.60207e-05,2.60207e-05
71,43.4694,0.55479,0.60184,0.99403,0.94987,0.39355,0.43346,0.29908,1.77093,2.45598,1.54644,2.55731e-05,2.55731e-05,2.55731e-05
72,44.0804,0.68252,0.5862,1.00742,0.91261,0.4,0.43663,0.28725,1.76052,2.43703,1.51768,2.5102e-05,2.5102e-05,2.5102e-05
73,44.6955,0.65553,0.90966,1.11532,0.91261,0.4,0.43663,0.28725,1.76052,2.43703,1.51768,2.46073e-05,2.46073e-05,2.46073e-05
74,45.2941,0.72613,0.81899,1.14644,0.91261,0.4,0.43663,0.28725,1.76052,2.43703,1.51768,2.40891e-05,2.40891e-05,2.40891e-05
75,45.9221,0.81011,0.77403,1.29909,0.87723,0.4,0.43458,0.28323,1.76607,2.39077,1.51641,2.35472e-05,2.35472e-05,2.35472e-05
76,46.519,0.61074,0.68081,1.06801,0.87723,0.4,0.43458,0.28323,1.76607,2.39077,1.51641,2.29819e-05,2.29819e-05,2.29819e-05
77,47.1083,0.79102,0.76871,1.21295,0.87723,0.4,0.43458,0.28323,1.76607,2.39077,1.51641,2.23929e-05,2.23929e-05,2.23929e-05
78,47.7221,0.84091,1.1107,1.22869,0.87001,0.40485,0.43458,0.28323,1.76902,2.36435,1.49707,2.17805e-05,2.17805e-05,2.17805e-05
79,48.318,0.59463,0.59921,1.03072,0.87001,0.40485,0.43458,0.28323,1.76902,2.36435,1.49707,2.11444e-05,2.11444e-05,2.11444e-05
80,48.9411,0.65073,0.62895,1.00164,0.87001,0.40485,0.43458,0.28323,1.76902,2.36435,1.49707,2.04848e-05,2.04848e-05,2.04848e-05
81,49.5699,0.67396,0.78235,1.2002,0.85421,0.4,0.43366,0.28303,1.78277,2.39459,1.5053,1.98016e-05,1.98016e-05,1.98016e-05
82,50.171,0.56355,0.49445,1.05152,0.85421,0.4,0.43366,0.28303,1.78277,2.39459,1.5053,1.90949e-05,1.90949e-05,1.90949e-05
83,50.7675,0.71895,0.91239,1.14863,0.85421,0.4,0.43366,0.28303,1.78277,2.39459,1.5053,1.83646e-05,1.83646e-05,1.83646e-05
84,51.3812,0.4357,0.51291,0.97377,0.84372,0.4,0.4326,0.28278,1.8194,2.42158,1.52757,1.76107e-05,1.76107e-05,1.76107e-05
85,51.9909,0.62482,0.80036,1.07018,0.84372,0.4,0.4326,0.28278,1.8194,2.42158,1.52757,1.68333e-05,1.68333e-05,1.68333e-05
86,52.5819,0.7683,0.8105,1.31811,0.84372,0.4,0.4326,0.28278,1.8194,2.42158,1.52757,1.60323e-05,1.60323e-05,1.60323e-05
87,53.2082,0.80154,0.95368,1.21761,0.84372,0.4,0.4326,0.28278,1.8194,2.42158,1.52757,1.52077e-05,1.52077e-05,1.52077e-05
88,53.8479,0.56289,0.66287,1.04525,0.81777,0.4,0.4286,0.28005,1.83472,2.41966,1.52223,1.43596e-05,1.43596e-05,1.43596e-05
89,54.4852,0.77942,0.73411,1.17372,0.81777,0.4,0.4286,0.28005,1.83472,2.41966,1.52223,1.34879e-05,1.34879e-05,1.34879e-05
90,55.1057,0.58729,0.82962,1.00862,0.81777,0.4,0.4286,0.28005,1.83472,2.41966,1.52223,1.25927e-05,1.25927e-05,1.25927e-05
91,55.7366,0.4881,0.48851,1.03934,0.81777,0.4,0.4286,0.28005,1.83472,2.41966,1.52223,1.16739e-05,1.16739e-05,1.16739e-05
92,56.3682,0.40538,0.51045,0.89842,0.82999,0.4,0.4286,0.28034,1.8255,2.44741,1.51281,1.07315e-05,1.07315e-05,1.07315e-05
93,56.988,0.67021,0.69916,1.2489,0.82999,0.4,0.4286,0.28034,1.8255,2.44741,1.51281,9.76562e-06,9.76562e-06,9.76562e-06
94,57.5862,0.58074,0.52834,1.04287,0.82999,0.4,0.4286,0.28034,1.8255,2.44741,1.51281,8.77613e-06,8.77613e-06,8.77613e-06
95,58.2144,0.7246,0.66474,1.29343,0.82999,0.4,0.4286,0.28034,1.8255,2.44741,1.51281,7.76308e-06,7.76308e-06,7.76308e-06
96,58.8652,0.5711,0.51837,1.06477,0.83801,0.4,0.43176,0.28242,1.83008,2.49458,1.53474,6.72648e-06,6.72648e-06,6.72648e-06
97,59.4798,0.42476,0.45275,0.93927,0.83801,0.4,0.43176,0.28242,1.83008,2.49458,1.53474,5.6663e-06,5.6663e-06,5.6663e-06
98,60.0707,0.60795,0.57681,1.10731,0.83801,0.4,0.43176,0.28242,1.83008,2.49458,1.53474,4.58257e-06,4.58257e-06,4.58257e-06
99,60.6828,0.49715,0.50097,0.91511,0.83801,0.4,0.43176,0.28242,1.83008,2.49458,1.53474,3.47528e-06,3.47528e-06,3.47528e-06
100,61.317,0.40554,0.49767,0.93292,0.82864,0.4,0.43038,0.28208,1.8143,2.47538,1.49853,2.34442e-06,2.34442e-06,2.34442e-06
